name,mass (g),fall,year,reclat,reclong,GeoLocation
Coon Butte,2750.0,Found,1905.0,35.0,-111.0,"(35.0, -111.0)"
Coopertown,16800.0,Found,1860.0,36.43333,-87.0,"(36.43333, -87.0)"
Cope,12000.0,Found,1934.0,39.66667,-102.83333,"(39.66667, -102.83333)"
Cortez,715.6,Found,1940.0,37.35,-108.68333,"(37.35, -108.68333)"
Cosby's Creek,960000.0,Found,1837.0,35.78333,-83.25,"(35.78333, -83.25)"
Costilla Peak,35500.0,Found,1881.0,36.83333,-105.23333,"(36.83333, -105.23333)"
Cotesfield,1160.0,Found,1928.0,41.36667,-98.63333,"(41.36667, -98.63333)"
Cottonwood,800.0,Found,1955.0,34.83333,-112.01667,"(34.83333, -112.01667)"
Covert,61000.0,Found,1896.0,39.2,-98.78333,"(39.2, -98.78333)"
Crab Orchard,48500.0,Found,1887.0,35.83333,-84.91667,"(35.83333, -84.91667)"
Cranberry Plains,90.0,Found,1852.0,37.23333,-80.73333,"(37.23333, -80.73333)"
Cranfills Gap,6000.0,Found,1940.0,31.75,-97.75,"(31.75, -97.75)"
Crow Peak,6320.0,Found,1958.0,44.47733,-103.972,"(44.47733, -103.972)"
Cruz del Aire,23000.0,Found,1911.0,26.5,-100.0,"(26.5, -100.0)"
Cuba,1500.0,Found,1871.0,22.0,-80.0,"(22.0, -80.0)"
Cuero,46500.0,Found,1936.0,29.01667,-97.28333,"(29.01667, -97.28333)"
Culbertson,5900.0,Found,1913.0,40.23333,-100.83333,"(40.23333, -100.83333)"
Cullison,10000.0,Found,1911.0,37.61667,-98.91667,"(37.61667, -98.91667)"
Cumpas,28600.0,Found,1903.0,30.0,-109.66667,"(30.0, -109.66667)"
Cushing,567.0,Found,1932.0,35.96667,-96.76667,"(35.96667, -96.76667)"
Dale Dry Lake,300.0,Found,1957.0,34.08333,-115.78333,"(34.08333, -115.78333)"
Dalton,53000.0,Found,1879.0,34.8,-84.98333,"(34.8, -84.98333)"
Davis Mountains,689000.0,Found,1903.0,30.75,-104.25,"(30.75, -104.25)"
Davy (a),50600.0,Found,1940.0,29.1,-97.6,"(29.1, -97.6)"
Dayton,26300.0,Found,1892.0,39.75,-84.16667,"(39.75, -84.16667)"
