name,mass (g),fall,year,reclat,reclong,GeoLocation
Kalaba,950.0,Fell,1951.0,-6.83333,29.5,"(-6.83333, 29.5)"
Kalumbi,4500.0,Fell,1879.0,17.83333,73.98333,"(17.83333, 73.98333)"
Kamalpur,2770.0,Fell,1942.0,26.03333,81.46667,"(26.03333, 81.46667)"
Kamiomi,448.0,Fell,1913.0,36.04167,139.95667,"(36.04167, 139.95667)"
Kamsagar,1293.0,Fell,1902.0,14.18333,75.8,"(14.18333, 75.8)"
Kandahar (Afghanistan),299.0,Fell,1959.0,31.6,65.78333,"(31.6, 65.78333)"
Kangean,1630.0,Fell,1908.0,-7.0,115.5,"(-7.0, 115.5)"
Kangra Valley,400.0,Fell,1897.0,32.08333,76.3,"(32.08333, 76.3)"
Kapoeta,11355.0,Fell,1942.0,4.7,33.63333,"(4.7, 33.63333)"
Kaptal-Aryk,3500.0,Fell,1937.0,42.45,73.36667,"(42.45, 73.36667)"
Karakol,3000.0,Fell,1840.0,47.21667,81.01667,"(47.21667, 81.01667)"
Karatu,2220.0,Fell,1963.0,-3.5,35.58333,"(-3.5, 35.58333)"
Karewar,180.0,Fell,1949.0,12.9,7.15,"(12.9, 7.15)"
Karkh,22000.0,Fell,1905.0,27.8,67.16667,"(27.8, 67.16667)"
Karloowala,2950.0,Fell,1955.0,31.58333,71.6,"(31.58333, 71.6)"
Karoonda,41730.0,Fell,1930.0,-35.08333,139.91667,"(-35.08333, 139.91667)"
Kasamatsu,710.0,Fell,1938.0,35.36667,136.76667,"(35.36667, 136.76667)"
Kayakent,85000.0,Fell,1961.0,39.26333,31.78,"(39.26333, 31.78)"
Kediri,3300.0,Fell,1940.0,-7.75,112.01667,"(-7.75, 112.01667)"
Kendleton,6937.0,Fell,1939.0,29.45,-96.0,"(29.45, -96.0)"
Kerilis,5000.0,Fell,1874.0,48.4,-3.3,"(48.4, -3.3)"
Kernouve,80000.0,Fell,1869.0,48.11667,-3.08333,"(48.11667, -3.08333)"
Kesen,135000.0,Fell,1850.0,38.98333,141.61667,"(38.98333, 141.61667)"
Khairpur,13600.0,Fell,1873.0,29.53333,72.3,"(29.53333, 72.3)"
Khanpur,3698.0,Fell,1932.0,25.55,83.11667,"(25.55, 83.11667)"
Kharkov,1500.0,Fell,1787.0,50.625,35.075,"(50.625, 35.075)"
Kheragur,450.0,Fell,1860.0,26.95,77.88333,"(26.95, 77.88333)"
Khetri,100.0,Fell,1867.0,28.01667,75.81667,"(28.01667, 75.81667)"
Khmelevka,6109.0,Fell,1929.0,56.75,75.33333,"(56.75, 75.33333)"
Khohar,9700.0,Fell,1910.0,25.1,81.53333,"(25.1, 81.53333)"
Khor Temiki,3200.0,Fell,1932.0,16.0,36.0,"(16.0, 36.0)"
Kiel,737.6,Fell,1962.0,54.4,10.15,"(54.4, 10.15)"
Kijima (1906),331.0,Fell,1906.0,36.85,138.38333,"(36.85, 138.38333)"
Kikino,195.0,Fell,1809.0,55.0,34.0,"(55.0, 34.0)"
Kilbourn,772.0,Fell,1911.0,43.58333,-89.6,"(43.58333, -89.6)"
Killeter,140.0,Fell,1844.0,54.66667,-7.66667,"(54.66667, -7.66667)"
Kirbyville,97.7,Fell,1906.0,30.75,-95.95,"(30.75, -95.95)"
Kisvarsány,1550.0,Fell,1914.0,48.16667,22.30833,"(48.16667, 22.30833)"
Klein-Wenden,3250.0,Fell,1843.0,51.6,10.8,"(51.6, 10.8)"
Knyahinya,500000.0,Fell,1866.0,48.9,22.4,"(48.9, 22.4)"
Komagome,238.0,Fell,1926.0,35.73333,139.75,"(35.73333, 139.75)"
Konovo,90.0,Fell,1931.0,42.51667,26.16667,"(42.51667, 26.16667)"
Krähenberg,16500.0,Fell,1869.0,49.32694,7.46472,"(49.32694, 7.46472)"
Krasnoi-Ugol,2440.0,Fell,1829.0,54.03333,40.9,"(54.03333, 40.9)"
Krasnyi Klyuch,4000.0,Fell,1946.0,54.33333,56.08333,"(54.33333, 56.08333)"
Krutikha,845.2,Fell,1906.0,56.8,77.0,"(56.8, 77.0)"
Krymka,50000.0,Fell,1946.0,47.83333,30.76667,"(47.83333, 30.76667)"
Kukschin,2250.0,Fell,1938.0,51.15,31.7,"(51.15, 31.7)"
Kulak,453.6,Fell,1961.0,30.73111,66.80222,"(30.73111, 66.80222)"
Kuleschovka,6000.0,Fell,1811.0,50.75,33.5,"(50.75, 33.5)"
Kulp,3719.0,Fell,1906.0,41.11667,45.0,"(41.11667, 45.0)"
Kunashak,200000.0,Fell,1949.0,55.78333,61.36667,"(55.78333, 61.36667)"
Kushiike,4460.0,Fell,1920.0,37.05,138.38333,"(37.05, 138.38333)"
Kusiali,5.0,Fell,1860.0,29.68333,78.38333,"(29.68333, 78.38333)"
